Hail Contour Data
=================


0.75inch (threshold: 19mm)
----------------------------------------

Region 1
Points: 48
lat,lon
34.4581,-81.3252
34.4635,-81.3186
34.4690,-81.3186
34.4635,-81.3252
34.4690,-81.3252
34.4744,-81.3252
34.4744,-81.3318
34.4798,-81.3318
34.4690,-81.3384
34.4744,-81.3384
34.4744,-81.3450
34.4690,-81.3450
34.4744,-81.3516
34.4690,-81.3516
34.4744,-81.3582
34.4798,-81.3648
34.4690,-81.3582
34.4744,-81.3648
34.4798,-81.3714
34.4744,-81.3714
34.4690,-81.3714
34.4744,-81.3780
34.4690,-81.3780
34.4635,-81.3780
34.4635,-81.3846
34.4581,-81.3780
34.4581,-81.3846
34.4527,-81.3780
34.4527,-81.3846
34.4473,-81.3714
34.4473,-81.3780

Region 16
Points: 14
lat,lon
34.4365,-83.4908
34.4365,-83.4842
34.4310,-83.4842
34.4310,-83.4776
34.4365,-83.4776
34.4310,-83.4710
34.4365,-83.4710
34.4365,-83.4644
34.4419,-83.4710
34.4419,-83.4776
34.4473,-83.4776
34.4473,-83.4842
34.4419,-83.4842
34.4419,-83.4908

Region 17
Points: 550
lat,lon
34.7344,-82.3486
34.7344,-82.3420
34.7344,-82.3354
34.7344,-82.3288
34.7344,-82.3222
34.7344,-82.3156
34.7289,-82.3420
34.7289,-82.3222
34.7289,-82.3156
34.7235,-82.3222
34.7235,-82.3156
34.7181,-82.3222
34.7181,-82.3156
34.7127,-82.3222
34.7127,-82.3156
34.7073,-82.3222
34.7073,-82.3156
34.7019,-82.3288
34.7019,-82.3222
34.7344,-82.2363
34.6964,-82.3222
34.6964,-82.3156
34.6964,-82.3090
34.6910,-82.3156
34.6910,-82.3090
34.6910,-82.3024
34.6910,-82.2958
34.6856,-82.3024
34.6856,-82.2958
34.6802,-82.2958
34.6856,-82.2892
34.6802,-82.2892
34.7289,-82.2363
34.6748,-82.2892
34.6802,-82.2826
34.7344,-82.2297
34.6748,-82.2826
34.6748,-82.2760
34.6694,-82.2760
34.7235,-82.2363
34.6748,-82.2694
34.6694,-82.2694
34.6748,-82.2628
34.6694,-82.2628
34.6748,-82.2561
34.6694,-82.2561
34.7289,-82.2297
34.6694,-82.2495
34.6639,-82.2495
34.7235,-82.2297
34.6639,-82.2429
34.6585,-82.2429
34.7181,-82.2297
34.6856,-82.2363
34.6802,-82.2363
34.6748,-82.2363
34.6694,-82.2363
34.6639,-82.2363
34.7073,-82.2297
34.6585,-82.2363
34.6531,-82.2363
34.7019,-82.2297
34.6964,-82.2297
34.6910,-82.2297
34.6856,-82.2297
34.6802,-82.2297
34.6748,-82.2297
34.6694,-82.2297
34.6639,-82.2297
34.6585,-82.2297
34.6910,-82.2231
34.6964,-82.2231
34.7019,-82.2231
34.7073,-82.2231
34.7127,-82.2231
34.7181,-82.2231
34.6152,-82.2099
34.6206,-82.2099
34.6260,-82.2099
34.7235,-82.2231
34.6098,-82.2033
34.6152,-82.2033
34.6206,-82.2033
34.6260,-82.2033
34.6314,-82.2033
34.6098,-82.1967
34.6152,-82.1967
34.6260,-82.1967
34.6314,-82.1967
34.6098,-82.1901
34.7073,-82.2165
34.6369,-82.1967
34.6152,-82.1901
34.6098,-82.1835
34.6314,-82.1901
34.7127,-82.2165
34.6152,-82.1835
34.6369,-82.1901
34.5990,-82.1769
34.6044,-82.1769
34.6423,-82.1901
34.6802,-82.2033
34.6098,-82.1769
